locality_name,gazetted_locality_name,vicnames_id,ufi,pfi,source
BANNOCKBURN,BANNOCKBURN,100265,792936294,205408220,Victoria Locality Boundary layer (MapServer/2)
BANYAN,BANYAN,100266,468964867,205407983,Victoria Locality Boundary layer (MapServer/2)
BANYENA,BANYENA,100267,468965404,205408467,Victoria Locality Boundary layer (MapServer/2)
BARANDUDA,BARANDUDA,100268,817075013,205409211,Victoria Locality Boundary layer (MapServer/2)
BARFOLD,BARFOLD,100269,814063481,205408957,Victoria Locality Boundary layer (MapServer/2)
BARINGHUP,BARINGHUP,100270,468965703,205408522,Victoria Locality Boundary layer (MapServer/2)
BARINGHUP WEST,BARINGHUP WEST,100271,468965705,205408731,Victoria Locality Boundary layer (MapServer/2)
BARJARG,BARJARG,100273,468965666,205408162,Victoria Locality Boundary layer (MapServer/2)
BARKERS CREEK,BARKERS CREEK,100274,841274358,205409420,Victoria Locality Boundary layer (MapServer/2)
BARKLY,BARKLY,100276,468965681,205408328,Victoria Locality Boundary layer (MapServer/2)
BARKSTEAD,BARKSTEAD,100277,831486760,205409462,Victoria Locality Boundary layer (MapServer/2)
BARMAH,BARMAH,100278,468964930,205407796,Victoria Locality Boundary layer (MapServer/2)
BARNADOWN,BARNADOWN,100279,824742257,205409461,Victoria Locality Boundary layer (MapServer/2)
BARNAWARTHA,BARNAWARTHA,100280,842441923,205408632,Victoria Locality Boundary layer (MapServer/2)
BARNAWARTHA NORTH,BARNAWARTHA NORTH,100281,842441924,205408459,Victoria Locality Boundary layer (MapServer/2)
BAROMI,BAROMI,100282,812374055,205410359,Victoria Locality Boundary layer (MapServer/2)
BARONGAROOK,BARONGAROOK,100283,805745199,205408824,Victoria Locality Boundary layer (MapServer/2)
BARONGAROOK WEST,BARONGAROOK WEST,100284,805745197,205408714,Victoria Locality Boundary layer (MapServer/2)
BARRABOOL,BARRABOOL,100285,796758805,205409192,Victoria Locality Boundary layer (MapServer/2)
BARRAKEE,BARRAKEE,100286,847360176,205409479,Victoria Locality Boundary layer (MapServer/2)
BARRAMUNGA,BARRAMUNGA,100287,805745210,205408154,Victoria Locality Boundary layer (MapServer/2)
BARRAPORT,BARRAPORT,100288,835229189,205407789,Victoria Locality Boundary layer (MapServer/2)
BARRAPORT WEST,BARRAPORT WEST,100289,877269555,205408168,Victoria Locality Boundary layer (MapServer/2)
BARRYS REEF,BARRYS REEF,100290,802469034,205409945,Victoria Locality Boundary layer (MapServer/2)
BARUNAH PARK,BARUNAH PARK,100291,805745153,205408149,Victoria Locality Boundary layer (MapServer/2)
BARUNAH PLAINS,BARUNAH PLAINS,100292,805745155,205409116,Victoria Locality Boundary layer (MapServer/2)
BARWIDGEE,BARWIDGEE,100293,847360187,205409201,Victoria Locality Boundary layer (MapServer/2)
BARWITE,BARWITE,100294,468965741,205407858,Victoria Locality Boundary layer (MapServer/2)
BARWON DOWNS,BARWON DOWNS,100295,805745202,205407862,Victoria Locality Boundary layer (MapServer/2)
BARWON HEADS,BARWON HEADS,100296,728238663,205409992,Victoria Locality Boundary layer (MapServer/2)
BASALT,BASALT,100297,831486715,205410021,Victoria Locality Boundary layer (MapServer/2)
BASS,BASS,100298,804193112,205408740,Victoria Locality Boundary layer (MapServer/2)
BATESFORD,BATESFORD,100300,792936302,205409463,Victoria Locality Boundary layer (MapServer/2)
BATHUMI,BATHUMI,100301,838124774,205409905,Victoria Locality Boundary layer (MapServer/2)
BAW BAW,BAW BAW,100302,808851332,205407584,Victoria Locality Boundary layer (MapServer/2)
