suburb_locality_name,loc_pid,centroid_latitude,centroid_longitude,geometry_type,boundary_source_url,parking_inventory_scope,public_parking_count,public_parking_inventory_status,preferred_statewide_parking_source,preferred_statewide_parking_source_url,secondary_source_examples,notes,app_has_parking_pin_data,app_parking_pin_count,app_source_dataset_count,app_source_datasets
ALMA,VIC30,-37.026147,143.677139,Polygon,https://data.gov.au/data/dataset/geoscape-administrative-boundaries,public parking only,,Not yet populated from statewide parking source,Vicmap Features of Interest (parking area subtype),https://discover.data.vic.gov.au/dataset/vicmap-features-of-interest,https://data.melbourne.vic.gov.au/explore/dataset/off-street-car-parks-with-capacity-and-type/ ; https://data.melbourne.vic.gov.au/explore/dataset/on-street-parking-bays/ ; https://discover.data.vic.gov.au/dataset/parking-lots ; https://discover.data.vic.gov.au/dataset/car-parking-zones,Template row for suburb/locality-level public parking research in Victoria. Populate public_parking_count after extracting parking facilities from statewide and council datasets.,False,0,0,
ALMONDS,VIC31,-36.240965,146.060251,Polygon,https://data.gov.au/data/dataset/geoscape-administrative-boundaries,public parking only,,Not yet populated from statewide parking source,Vicmap Features of Interest (parking area subtype),https://discover.data.vic.gov.au/dataset/vicmap-features-of-interest,https://data.melbourne.vic.gov.au/explore/dataset/off-street-car-parks-with-capacity-and-type/ ; https://data.melbourne.vic.gov.au/explore/dataset/on-street-parking-bays/ ; https://discover.data.vic.gov.au/dataset/parking-lots ; https://discover.data.vic.gov.au/dataset/car-parking-zones,Template row for suburb/locality-level public parking research in Victoria. Populate public_parking_count after extracting parking facilities from statewide and council datasets.,False,0,0,
ALMURTA,VIC32,-38.451787,145.577876,Polygon,https://data.gov.au/data/dataset/geoscape-administrative-boundaries,public parking only,,Not yet populated from statewide parking source,Vicmap Features of Interest (parking area subtype),https://discover.data.vic.gov.au/dataset/vicmap-features-of-interest,https://data.melbourne.vic.gov.au/explore/dataset/off-street-car-parks-with-capacity-and-type/ ; https://data.melbourne.vic.gov.au/explore/dataset/on-street-parking-bays/ ; https://discover.data.vic.gov.au/dataset/parking-lots ; https://discover.data.vic.gov.au/dataset/car-parking-zones,Template row for suburb/locality-level public parking research in Victoria. Populate public_parking_count after extracting parking facilities from statewide and council datasets.,False,0,0,
ALPHINGTON,VIC33,-37.775427,145.029821,Polygon,https://data.gov.au/data/dataset/geoscape-administrative-boundaries,public parking only,,Not yet populated from statewide parking source,Vicmap Features of Interest (parking area subtype),https://discover.data.vic.gov.au/dataset/vicmap-features-of-interest,https://data.melbourne.vic.gov.au/explore/dataset/off-street-car-parks-with-capacity-and-type/ ; https://data.melbourne.vic.gov.au/explore/dataset/on-street-parking-bays/ ; https://discover.data.vic.gov.au/dataset/parking-lots ; https://discover.data.vic.gov.au/dataset/car-parking-zones,Template row for suburb/locality-level public parking research in Victoria. Populate public_parking_count after extracting parking facilities from statewide and council datasets.,False,0,0,
ALTONA,VIC34,-37.861479,144.811471,Polygon,https://data.gov.au/data/dataset/geoscape-administrative-boundaries,public parking only,,Not yet populated from statewide parking source,Vicmap Features of Interest (parking area subtype),https://discover.data.vic.gov.au/dataset/vicmap-features-of-interest,https://data.melbourne.vic.gov.au/explore/dataset/off-street-car-parks-with-capacity-and-type/ ; https://data.melbourne.vic.gov.au/explore/dataset/on-street-parking-bays/ ; https://discover.data.vic.gov.au/dataset/parking-lots ; https://discover.data.vic.gov.au/dataset/car-parking-zones,Template row for suburb/locality-level public parking research in Victoria. Populate public_parking_count after extracting parking facilities from statewide and council datasets.,False,0,0,
ALTONA MEADOWS,VIC35,-37.879003,144.781475,Polygon,https://data.gov.au/data/dataset/geoscape-administrative-boundaries,public parking only,,Not yet populated from statewide parking source,Vicmap Features of Interest (parking area subtype),https://discover.data.vic.gov.au/dataset/vicmap-features-of-interest,https://data.melbourne.vic.gov.au/explore/dataset/off-street-car-parks-with-capacity-and-type/ ; https://data.melbourne.vic.gov.au/explore/dataset/on-street-parking-bays/ ; https://discover.data.vic.gov.au/dataset/parking-lots ; https://discover.data.vic.gov.au/dataset/car-parking-zones,Template row for suburb/locality-level public parking research in Victoria. Populate public_parking_count after extracting parking facilities from statewide and council datasets.,False,0,0,
ALTONA NORTH,VIC36,-37.838799,144.83043,Polygon,https://data.gov.au/data/dataset/geoscape-administrative-boundaries,public parking only,,Not yet populated from statewide parking source,Vicmap Features of Interest (parking area subtype),https://discover.data.vic.gov.au/dataset/vicmap-features-of-interest,https://data.melbourne.vic.gov.au/explore/dataset/off-street-car-parks-with-capacity-and-type/ ; https://data.melbourne.vic.gov.au/explore/dataset/on-street-parking-bays/ ; https://discover.data.vic.gov.au/dataset/parking-lots ; https://discover.data.vic.gov.au/dataset/car-parking-zones,Template row for suburb/locality-level public parking research in Victoria. Populate public_parking_count after extracting parking facilities from statewide and council datasets.,False,0,0,
ALVIE,VIC37,-38.232004,143.49617,Polygon,https://data.gov.au/data/dataset/geoscape-administrative-boundaries,public parking only,,Not yet populated from statewide parking source,Vicmap Features of Interest (parking area subtype),https://discover.data.vic.gov.au/dataset/vicmap-features-of-interest,https://data.melbourne.vic.gov.au/explore/dataset/off-street-car-parks-with-capacity-and-type/ ; https://data.melbourne.vic.gov.au/explore/dataset/on-street-parking-bays/ ; https://discover.data.vic.gov.au/dataset/parking-lots ; https://discover.data.vic.gov.au/dataset/car-parking-zones,Template row for suburb/locality-level public parking research in Victoria. Populate public_parking_count after extracting parking facilities from statewide and council datasets.,False,0,0,
AMHERST,VIC38,-37.130092,143.660604,Polygon,https://data.gov.au/data/dataset/geoscape-administrative-boundaries,public parking only,,Not yet populated from statewide parking source,Vicmap Features of Interest (parking area subtype),https://discover.data.vic.gov.au/dataset/vicmap-features-of-interest,https://data.melbourne.vic.gov.au/explore/dataset/off-street-car-parks-with-capacity-and-type/ ; https://data.melbourne.vic.gov.au/explore/dataset/on-street-parking-bays/ ; https://discover.data.vic.gov.au/dataset/parking-lots ; https://discover.data.vic.gov.au/dataset/car-parking-zones,Template row for suburb/locality-level public parking research in Victoria. Populate public_parking_count after extracting parking facilities from statewide and council datasets.,False,0,0,
AMOR,VIC39,-37.93819,146.401134,Polygon,https://data.gov.au/data/dataset/geoscape-administrative-boundaries,public parking only,,Not yet populated from statewide parking source,Vicmap Features of Interest (parking area subtype),https://discover.data.vic.gov.au/dataset/vicmap-features-of-interest,https://data.melbourne.vic.gov.au/explore/dataset/off-street-car-parks-with-capacity-and-type/ ; https://data.melbourne.vic.gov.au/explore/dataset/on-street-parking-bays/ ; https://discover.data.vic.gov.au/dataset/parking-lots ; https://discover.data.vic.gov.au/dataset/car-parking-zones,Template row for suburb/locality-level public parking research in Victoria. Populate public_parking_count after extracting parking facilities from statewide and council datasets.,False,0,0,
AMPHITHEATRE,VIC40,-37.194714,143.409984,Polygon,https://data.gov.au/data/dataset/geoscape-administrative-boundaries,public parking only,,Not yet populated from statewide parking source,Vicmap Features of Interest (parking area subtype),https://discover.data.vic.gov.au/dataset/vicmap-features-of-interest,https://data.melbourne.vic.gov.au/explore/dataset/off-street-car-parks-with-capacity-and-type/ ; https://data.melbourne.vic.gov.au/explore/dataset/on-street-parking-bays/ ; https://discover.data.vic.gov.au/dataset/parking-lots ; https://discover.data.vic.gov.au/dataset/car-parking-zones,Template row for suburb/locality-level public parking research in Victoria. Populate public_parking_count after extracting parking facilities from statewide and council datasets.,False,0,0,
